API,Category,Description_URL
RegEnumKeyA,Enumeration,https://malapi.io/winapi/RegEnumKeyA
RegEnumKeyA,Helper,https://malapi.io/winapi/RegEnumKeyA
RegEnumKeyExA,Enumeration,https://malapi.io/winapi/RegEnumKeyExA
RegEnumKeyExA,Helper,https://malapi.io/winapi/RegEnumKeyExA
RegEnumValueA,Enumeration,https://malapi.io/winapi/RegEnumValueA
RegEnumValueA,Helper,https://malapi.io/winapi/RegEnumValueA
RegFlushKey,Helper,https://malapi.io/winapi/RegFlushKey
RegGetKeySecurity,Helper,https://malapi.io/winapi/RegGetKeySecurity
RegGetValueA,Helper,https://malapi.io/winapi/RegGetValueA
RegLoadKeyA,Helper,https://malapi.io/winapi/RegLoadKeyA
RegLoadMUIStringA,Helper,https://malapi.io/winapi/RegLoadMUIStringA
RegOpenCurrentUser,Helper,https://malapi.io/winapi/RegOpenCurrentUser
RegOpenKeyA,Helper,https://malapi.io/winapi/RegOpenKeyA
RegOpenKeyExA,Helper,https://malapi.io/winapi/RegOpenKeyExA
RegOpenKeyExA,Helper,https://malapi.io/winapi/RegOpenKeyExA
RegOpenKeyTransactedA,Helper,https://malapi.io/winapi/RegOpenKeyTransactedA
RegOpenUserClassesRoot,Helper,https://malapi.io/winapi/RegOpenUserClassesRoot
RegOverridePredefKey,Helper,https://malapi.io/winapi/RegOverridePredefKey
RegQueryInfoKeyA,Enumeration,https://malapi.io/winapi/RegQueryInfoKeyA
RegQueryMultipleValuesA,Enumeration,https://malapi.io/winapi/RegQueryMultipleValuesA
RegQueryValueExA,Enumeration,https://malapi.io/winapi/RegQueryValueExA
RegReplaceKeyA,Helper,https://malapi.io/winapi/RegReplaceKeyA
RegRestoreKeyA,Helper,https://malapi.io/winapi/RegRestoreKeyA
RegSaveKeyA,Helper,https://malapi.io/winapi/RegSaveKeyA
RegSaveKeyExA,Helper,https://malapi.io/winapi/RegSaveKeyExA
RegSetKeySecurity,Helper,https://malapi.io/winapi/RegSetKeySecurity
RegSetKeyValueA,Helper,https://malapi.io/winapi/RegSetKeyValueA
RegSetValueExA,Helper,https://malapi.io/winapi/RegSetValueExA
RegUnLoadKeyA,Helper,https://malapi.io/winapi/RegUnLoadKeyA
RegisterHotKey,Evasion,https://malapi.io/winapi/RegisterHotKey
RegisterHotKey,Spying,https://malapi.io/winapi/RegisterHotKey
RegisterRawInputDevices,Spying,https://malapi.io/winapi/RegisterRawInputDevices
ResumeThread,Injection,https://malapi.io/winapi/ResumeThread
RtlCopyMemory,Injection,https://malapi.io/winapi/RtlCopyMemory
RtlCreateHeap,Injection,https://malapi.io/winapi/RtlCreateHeap
RtlGetVersion,Enumeration,https://malapi.io/winapi/RtlGetVersion
RtlGetVersion,Anti-Debugging,https://malapi.io/winapi/RtlGetVersion
RtlMoveMemory,Injection,https://malapi.io/winapi/RtlMoveMemory 
RtlSetProcessIsCritical,Helper,https://malapi.io/winapi/RtlSetProcessIsCritical
SearchPathA,Enumeration,https://malapi.io/winapi/SearchPathA
Select,Evasion,https://malapi.io/winapi/Select
Send,Internet,https://malapi.io/winapi/Send
SendMessageA,Spying,https://malapi.io/winapi/SendMessageA
SendMessageCallbackA,Spying,https://malapi.io/winapi/SendMessageCallbackA
SendMessageTimeoutA,Spying,https://malapi.io/winapi/SendMessageTimeoutA
SendNotifyMessageA,Spying,https://malapi.io/winapi/SendNotifyMessageA
SetClipboardData,Helper,https://malapi.io/winapi/SetClipboardData
SetCurrentDirectory,Helper,https://malapi.io/winapi/SetCurrentDirectory
SetEnvironmentVariableA,Evasion,https://malapi.io/winapi/SetEnvironmentVariableA
SetFileAttributesA,Evasion,https://malapi.io/winapi/SetFileAttributesA 
SetFileTime,Evasion,https://malapi.io/winapi/SetFileTime
SetFocus,Helper,https://malapi.io/winapi/SetFocus
SetForegroundWindow,Helper,https://malapi.io/winapi/SetForegroundWindow
SetProcessDEPPolicy,Injection,https://malapi.io/winapi/SetProcessDEPPolicy
SetPropA,Injection,https://malapi.io/winapi/SetPropA
SetThreadContext,Injection,https://malapi.io/winapi/SetThreadContext
SetThreadPriority,Helper,https://malapi.io/winapi/SetThreadPriority
SetThreadToken,Evasion,https://malapi.io/winapi/SetThreadToken
SetThreadToken,Helper,https://malapi.io/winapi/SetThreadToken
SetTimer,Evasion,https://malapi.io/winapi/SetTimer
SetWaitableTimer,Evasion,https://malapi.io/winapi/SetWaitableTimer
SetWaitableTimer,Evasion,https://malapi.io/winapi/SetWaitableTimer
SetWinEventHook,Spying,https://malapi.io/winapi/SetWinEventHook
SetWindowLongA,Helper,https://malapi.io/winapi/SetWindowLongA
SetWindowLongPtrA,Helper,https://malapi.io/winapi/SetWindowLongPtrA
